topo_id,state,county,2010-01,2010-02,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
2020,AK,Anchorage,302505.9285714286,305707.14285714284,287211.2728447514,287331.5975496484,286735.8767676164,286391.5875786374,286275.11566891643,286250.65977928095,286362.56778399454,286713.0307612945,287363.12707631936,288591.4763165705,288351.92258234083,287436.6854529969,287396.36163612833,287840.02806969156,287432.9192641221,287022.09834269393,286314.97603003593,284371.9990903388,284085.8482097965,284244.4564348873,284587.0507973651,284787.00990194856,285512.7144683898,286495.23191312427,285927.70642188203,285592.01114584587,285494.0864304082,284820.23670768854,285282.5315108432,286277.82678565977,289535.0801690378,294453.238395592,297970.62279873306,301008.6575671897,302214.1428211043,303138.12846270605,304376.46978109144,304341.0178819934,306049.4357712465,307902.12846643524,309684.2858251372,310071.32653478027,309868.5212776421,310475.59652488306,310719.93449806824,310166.8528009364,308458.62577752303,308130.71030049794,307503.86746486166,306829.1956366216,306891.38994637434,306623.6542248463,306581.9624082632,306323.270697607,306638.72133405233,306193.0464605595,305090.4132185917,304454.7744467382,303549.11529586505,303000.5571307005,304027.9079557541,305514.63431781426,304505.00257601653,304135.52457192255,305032.5075900637,305375.81595786026,304999.1040719419,305027.04630403005,305079.27781447227,305060.45838232234,305197.8061310629,305238.07634112803,305443.958902102,305683.45281631814,306372.9827264122,306306.34574457194,306077.2332061312,305696.4661608549,305674.3830978639,305593.24895551224
2090,AK,Fairbanks North Star,234175.0,246075.0,225043.03233430954,224055.11389104964,222844.40905342894,219017.17351029048,215393.78061337912,212987.77389204153,212167.61043601486,210427.41154017046,208657.7471022818,208124.6634144054,208942.31475014344,209412.22283592494,209975.41814755986,210649.15261672653,209788.31607182382,210862.5847018806,211146.72759485352,211327.7955208262,211485.26851775244,211560.59615970383,211902.58053425327,209594.20697555385,209038.59516360355,206036.2717095291,203256.52798953236,199164.073440467,196907.3759764604,195283.52031360473,195269.91912558203,195245.25156419058,195304.2298888248,195158.4383864411,195013.90031524707,194608.1118016762,192753.14410969627,187538.00147541182,184460.93011827578,183735.68280239112,184260.70205065203,184895.6883204158,185198.90468274697,185262.26766122403,185262.60314641971,185482.76959134048,185650.37574904825,186662.42247443701,186801.44982562918,186219.66226652794,185845.2686837107,185533.8425617459,185556.99868237379,185528.42962003287,184553.33418205837,183053.37841703993,182658.8000472789,185669.0044487089,187861.84373815078,189512.79729819085,190294.55926892417,190508.97484139533,190589.24411217088,191026.91652159227,191182.29795391532,191431.06569776378,192651.26979796524,193616.53796807423,194950.71194048825,197385.49833494853,199885.18894241593,203584.84849097792,204993.74915857532,197975.99756101516,194667.844490941,192689.3174467148,191971.87859892193,192118.2419581386,191344.88623668224,191524.99529398553,191006.73118766886,189862.6231346635
2110,AK,Juneau,263500.0,273000.0,264147.4173015113,263676.2035326847,260252.24501090855,258537.94214338914,258734.98421597847,259720.38686084785,260947.87582973568,262750.8626188764,265299.5101703631,267788.7351815153,274888.9124404851,277702.86972423206,276956.02482175076,276390.25593050243,276539.9744763367,277191.6679312089,277653.2411815327,277942.4587017246,276502.1855637722,276176.73965577217,276958.65691720776,277542.91340836906,277493.5348927244,277128.1973355517,277105.0200336117,277722.5192017168,276901.0007042287,277818.440828899,279199.9181498806,282167.8906315176,287478.1332297403,295267.2736925263,302919.91147501854,309275.1757035553,315976.6295732781,316829.3222915477,317849.6198536428,317313.32029209245,314984.83619409177,308080.8306460462,307803.23975168547,307831.93072837184,307751.4750716039,307672.71883206675,307339.25629553164,307328.65237168863,307272.2607913433,306709.1025861977,306753.7832342573,306730.9700379289,307232.5513584657,307150.924423898,309834.411048697,310098.55761771166,310807.2068537737,311282.8696662891,311664.90443936107,311777.3216079371,314258.3485146968,323080.2917053413,320923.49527970195,317986.4206798599,318064.25322897255,318264.8483914448,315907.0390356424,315096.8766348438,313321.73384763306,314332.9562612994,314167.154169062,313718.0053592458,313420.11033607344,314626.8396121751,315403.94392982486,315264.9390954655,315021.2147645476,315058.0604267738,315955.4603283648,318315.5797190862,319228.17717193824,322164.2689153767
2122,AK,Kenai Peninsula,260450.0,260116.66666666666,203032.5180640852,204888.95424312784,205364.16541533606,206641.19836314634,208046.913320875,210138.68923399775,213128.93493590993,214922.93332734023,214290.85217103176,214227.98700877442,213425.71729286856,213178.25556229404,213861.19844881815,213168.81721231545,212000.34781205546,211815.89309748373,210261.83959892375,209767.38901415013,209811.89979598636,209504.1316789888,209407.16453159045,210479.92452697686,209630.22570361933,208515.90983073664,208954.95749886823,211047.7908926949,211494.5821213342,211127.83477370098,210895.69319114718,211022.02219044763,210752.83300600178,210703.04294866955,211109.95868438002,211544.73519067658,212019.58312202734,211953.4930514616,212740.31762920748,212454.32546360954,212321.80350212884,212465.15620503417,212408.50942394967,212675.70051958167,213781.2809127182,215265.11087044567,216026.81196909936,216332.18240279457,215833.36540659427,215748.71911335248,215709.80079620273,216238.00703298123,216074.17382042206,216205.79571094867,216806.56245708297,217184.117657845,217479.9266621889,217580.68829294393,218967.979258848,221604.75488985673,223601.75228535407,224318.3005805443,224173.84308210204,224736.69740207228,224631.93283416878,224526.59253762866,218719.90612573145,214389.93282642748,211192.17107552598,210695.53412949148,210176.21821432712,210657.8548624981,212399.66417726362,213738.94104079736,214605.69981464368,215849.7947357029,216333.7950486165,216749.39416675072,218332.04321912304,219732.96958847658,221522.97077875957,222548.59338931233
2130,AK,Ketchikan Gateway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107644.8843804886,-152764.7005117326,-173234.9244109235,-182749.22098816032,-186855.16991736225,-186540.77826127637,-183015.64109847287,-175655.93860220414,-164819.42382542155,-151596.51134291716,-135461.0786219174,-116807.85476067814,-96347.76436669962,-71265.99226121994
2150,AK,Kodiak Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127505.5641554865,-165503.4306116007,-186851.1931399684,-199742.70700785518,-205868.442277771,-206728.1526013394,-203268.95944259857,-196098.4903625556,-185259.48908101488,-171738.93417484371,-154387.14289747848,-133175.9443677063,-107861.90816907643,-78815.29608884157,-45488.0078359202,-7117.427145957423,37848.46651379086,92254.14698052595,163356.3149693013,312292.1302612058,312690.81614148594,308200.20111371187,303086.75909409387,289319.84900970897,284514.86289530224,284537.9819632232,284260.98805760546,284013.1432976362,284017.79895747907,284397.9851583077,284635.2339900079,284703.86612761184,284719.7959971585,284809.9403038274,285378.5940205068,285816.1942243585,285750.97347811033,285106.9188956276,284561.5224278775,283905.5431479372,283563.2415903296,286560.9504772485,291799.82679104875
2170,AK,Matanuska Susitna,239900.0,236500.0,222420.53527473722,221770.9922309482,221348.3733135004,221071.48794966942,221053.7559562054,221753.35508416328,221497.66122970587,221255.2514534012,221192.62095444213,221263.09340064917,221188.5643756923,220488.64520284877,220266.4833375541,220301.64040024657,221269.310123858,221777.9092610055,221483.72559561735,220346.89565538787,219361.04213110113,219318.4928406688,219551.67561622226,219903.58043122507,220536.9802956129,220916.50571256163,221162.89371183226,221160.14390021266,221463.6444757723,221835.8578284668,222214.15663866667,222378.0262131654,222767.15981522773,224619.50351614592,226169.94129824702,227481.71023425378,228730.65360007106,228149.6777658731,228352.5818068361,228202.0698512033,226742.34362573712,225656.37423793756,223597.2845492187,223072.84589298104,222920.85420261297,223074.1481622435,223764.03009999587,223148.39732722915,222610.0561270474,222073.3377740301,222106.6209907392,222446.4569782544,222961.1744330507,223838.59791543853,226042.44867418183,229289.15681307585,231731.4395233261,237635.53624764693,242607.1474595975,246555.9719798637,248687.38838132573,250814.32441320486,251238.2325524478,252813.2510626394,254256.84587894756,255899.09682245037,257424.00858233296,256887.8142404903,255858.02141177788,255652.01668096427,255541.5662657132,255417.88385335112,255394.85656336127,255446.2408648707,255677.20862255484,256040.71135819724,256161.82130287465,256645.23684922646,256352.57707837192,255728.9974873168,255756.40832361663,256319.56667755093
2220,AK,Sitka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-178746.11797498108,-229201.6994860053,-257965.87528997497,-272445.78009743534,-275545.59700810025,-273164.95572676393,-265211.4080539526,-251067.64775276848,-235627.77178858756,-217308.03033434512,-194340.31958779192,-167184.88612522348,-135905.15969947184,-99861.02793974557,-58686.33919886581,-11378.129629178613,44007.982280759024,110613.26429870908,197348.34733842922,357515.5583814817,356263.1359925237,351969.8151320892,354693.95041377586,356723.579932854,355565.39298169175,351657.68030014186,350721.2670128495,357229.44156344904,358041.616164816,357898.5920040893,358466.9605740042,359416.9469088864,359227.3559883697,361035.2371675702,364532.9328064718,365381.9917013954,365401.3329354458,368097.17993331474,368686.4037610245,370803.0436643632,379669.4771828013,397178.57378341735,401592.79208878713,405202.8250046493,405709.9015543998,400991.37638622534,400956.583618671,401032.7843397731,400619.9274609112,400768.5018279076,401553.48071157426,400022.22072737355,400022.22072737355,400008.84931356844,400644.1453643343,402883.06547026295,403163.6548547165,402809.95474403026,402809.95474403026,402305.0800225774,396766.8923482224,397319.04981135146,393093.3002789177,390500.30406993633,391749.4108368476,397575.3418769373,398675.863290362,400124.7218946471,402618.69784808037,404311.0717451514,404449.4018446102,402631.77880348667,402672.0830687072,402751.6624402922
1001,AL,Autauga,179900.0,178900.0,161299.24416271062,161088.80196961967,161090.57229481466,160451.16071837128,159345.32717287404,159341.59965981296,159411.4700231622,160183.17754197182,161170.77597085465,162542.71520113322,163779.9469720821,164277.80681413965,165392.68990080425,166564.9046757633,167846.60264227644,168089.71860721317,168426.1796539654,168579.75137970474,168359.72978087177,168153.80533502065,166377.67273437182,164730.61242839936,163118.4928241061,159606.5368255245,157727.18013632484,155939.60729725388,154475.20563041634,153910.13926762732,153985.29561481223,154016.2340656349,154006.8007891595,154099.5006283713,154215.99703623215,154670.06205366098,155118.8490799057,155260.07680248233,155599.48165489832,155760.76817445568,155823.23579389424,155807.45988867947,154744.4312760691,155484.1979711536,155887.8843458282,157546.57110222572,159034.1814567235,160587.4076337851,161942.97160023652,161420.08056398056,159958.20510242798,159377.8052334119,158892.04158384152,158113.43355990492,157831.67232980527,157841.26901101135,157649.77878912335,157577.94241481562,158040.8216326178,158119.0607609952,158120.38644329424,157957.7903936518,158667.5738297341,158184.07627864892,158122.32112071337,158377.62920853475,158551.0353280946,158624.952225737,159289.11545382056,160855.01812403928,162809.4039022507,163028.17207448848,164591.39265733806,167085.62626844874,166616.31697393663,166254.0173247122,164254.9158489333,162826.6316775242,162547.99052695493,162588.34849736554,163227.38515431242,165222.79813321077
1003,AL,Baldwin,249193.75,250845.8125,204561.36947838435,203728.78853628907,202175.5580097369,201017.21383580702,200487.2018845743,200007.71235976758,199647.2381760839,199531.86232161135,199198.282677213,199601.48808945518,199500.27557484154,199833.1326350437,200458.41863399692,200586.16308921922,200557.2315982594,200694.31846416165,200404.68134281487,200256.87073430794,200209.63105950525,198412.10126234006,197366.45269223358,196181.2368045031,195837.424174492,195442.6347912119,195218.5233633735,195536.4305571839,196229.7391019452,197346.92348482658,198896.7298908727,200645.87759663037,202284.68311064405,204365.35010915002,207111.08971444934,210639.42904067086,213929.12296000082,216961.67797043404,219461.7426207344,221954.8609196851,224575.56569101414,224338.07978539847,224668.8242095221,224085.75456125016,224565.14441238737,224560.1048054917,224498.5252556588,225610.65176825906,226538.22103325828,227703.43328538336,228563.07986893522,229470.40832849685,229531.96922072856,229843.35019907227,230195.58376580206,231079.86624114556,232611.6428820269,234265.92908865714,235600.6311663769,236670.29644210014,238257.76273590935,238900.21535749524,239658.5273165685,240214.92190585568,241423.45331870133,242288.4250541314,243031.27887645064,244276.74053743653,245818.62855050858,247484.47135358662,249758.98576756968,251702.39912983723,253093.92564631466,253561.10404654974,254179.12892725167,255574.44434597113,255913.7647782801,255189.09104786615,255170.42641203778,254935.17808582677,254879.3651381656,254850.10584637435
