topo_id,state,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
37183,NC,Wake,252581.69565217392,252217.9347826087,248599.80434782608,248066.30434782608,250123.4347826087,247244.41304347827,243686.6739130435,242859.97826086957,244379.9347826087,244337.5,244342.91304347827,242490.30434782608,241009.80434782608,237918.91304347827,235597.95652173914,236720.78260869565,239091.95652173914,240122.21739130435,238942.30434782608,239100.84782608695,238949.39130434784,240691.63043478262,241176.08695652173,240686.60869565216,242179.65217391305,241017.41304347827,241661.63043478262,242992.52173913043,241912.08695652173,241507.08695652173,242072.60869565216,243784.73913043478,243190.23913043478,242607.39130434784,245752.1739130435,245597.0652173913,247141.63043478262,250673.78260869565,252566.71739130435,254985.39130434784,259209.54347826086,266495.0,267705.32608695654,284044.75,281890.8333333333,284854.1458333333,283592.2916666667,286407.875,296869.5961538461,298003.26923076925,295807.1153846154,295676.51923076925,299751.48076923075,295989.6153846154,299615.46153846156,303091.21153846156,304145.3461538461,308703.8461538461,306697.6923076923,305949.17307692306,306773.5,304666.57692307694,302941.1538461539,309019.42307692306,318030.1538461539,322849.3653846154,324119.21153846156,330202.85185185185,325975.4464285714,332496.75,336118.64285714284,339164.98214285716,347893.16071428574,342092.8214285714,339982.16071428574,343504.89285714284,342754.91071428574,338174.10714285716,337869.64285714284,342588.66071428574,343657.26785714284,343490.75,348964.33928571426,348738.0535714286,353560.10714285716,355685.3275862069,360489.9166666667,359961.7,363031.23333333334,366162.38333333336,364123.8333333333,361260.4032258064,360997.4516129032,367741.22580645164,367653.22580645164,375359.1935483871,376444.5967741936,375839.8870967742,374958.3387096774,372327.51612903224,374790.1451612903,374922.6129032258,373064.6451612903,367925.6129032258
37187,NC,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,82900.0,85000.0,95000.0,97000.0,96000.0,107250.0,107250.0,124500.0,115500.0,95400.0,95900.0,94900.0,94900.0,89900.0,89900.0,93950.0,89900.0
37189,NC,Watauga,387633.3333333333,374833.3333333333,369616.6666666667,372633.3333333333,374633.3333333333,377466.6666666667,374483.3333333333,374600.0,372083.3333333333,376066.6666666667,374000.0,370416.6666666667,369600.0,367333.3333333333,356350.0,345500.0,349666.6666666667,342966.6666666667,334133.3333333333,331800.0,324533.3333333333,322466.6666666667,316133.3333333333,311666.6666666667,320966.6666666667,306566.6666666667,311666.6666666667,307316.6666666667,323466.6666666667,318783.3333333333,318483.3333333333,307000.0,312966.6666666667,312633.3333333333,309966.6666666667,307216.6666666667,309962.6666666667,296983.3333333333,298091.6666666667,305333.1666666667,310912.6666666667,311300.0,306000.0,314800.0,313300.0,307700.0,303266.6666666667,304600.0,302433.3333333333,313633.3333333333,308666.6666666667,307800.0,303483.3333333333,307450.0,309600.0,311633.3333333333,315983.3333333333,318066.6666666667,315966.6666666667,309900.0,310633.3333333333,310550.0,300966.6666666667,303333.3333333333,303000.0,311966.6666666667,309600.0,309300.0,315633.3333333333,319333.3333333333,324483.3333333333,337666.6666666667,322750.0,329416.6666666667,311000.0,309000.0,315666.6666666667,316283.3333333333,321583.3333333333,321616.6666666667,326316.6666666667,329416.6666666667,329333.3333333333,326000.0,324500.0,322666.6666666667,306225.0,312500.0,313175.0,331575.0,346512.5,349725.0,351837.5,351425.0,352168.75,349875.0,350212.5,349500.0,353450.0,354700.0,360687.5,382862.5,380737.375,376175.0
37191,NC,Wayne,170866.66666666666,167633.33333333334,169533.16666666666,168566.66666666666,170883.33333333334,170866.66666666666,167415.0,164933.33333333334,164900.0,161166.66666666666,164016.66666666666,165250.0,168266.66666666666,165600.0,171483.33333333334,167816.66666666666,168483.33333333334,168100.0,162083.33333333334,163250.0,162283.33333333334,158783.33333333334,158766.66666666666,158133.33333333334,155350.0,157750.0,158083.33333333334,158633.33333333334,158000.0,161511.0,159200.0,153583.33333333334,151583.33333333334,150466.66666666666,151600.0,151633.33333333334,153233.33333333334,156433.33333333334,157366.66666666666,157066.66666666666,164833.33333333334,166766.66666666666,159933.33333333334,159466.66666666666,162133.33333333334,160633.33333333334,157200.0,166966.66666666666,159316.66666666666,159800.0,163116.66666666666,167133.33333333334,170525.0,166599.83333333334,162533.33333333334,159650.0,166100.0,161233.33333333334,157800.0,158883.33333333334,156983.0,164100.0,159450.0,168050.0,173050.0,172654.16666666666,174366.66666666666,174116.66666666666,174740.0,174750.0,168233.33333333334,168233.33333333334,166633.33333333334,168633.0,172833.33333333334,168550.0,167833.33333333334,167400.0,167583.33333333334,169816.66666666666,163350.0,163733.33333333334,164366.66666666666,163233.33333333334,164933.33333333334,163233.33333333334,170100.0,171100.0,168916.66666666666,170849.83333333334,171766.66666666666,167366.66666666666,169533.33333333334,164550.0,172200.0,169433.33333333334,170500.0,171100.0,167900.0,170566.66666666666,172083.33333333334,174600.0,175266.66666666666,176685.66666666666
37193,NC,Wilkes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110450.0,112700.0,112000.0,119500.0,112500.0,114535.0,119900.0,114170.0,119999.0,119949.5,110200.0,124900.0,129900.0,144900.0,149900.0,149900.0,139450.0,139000.0,144900.0,146250.0,145000.0,129900.0,139800.0,139900.0,149000.0,129900.0,128950.0,129900.0,129400.0,126950.0,134900.0,137200.0,135900.0,132025.0,129150.0,138500.0,138500.0,139250.0,146200.0,147400.0,144900.0,138500.0,138150.0,134900.0,132400.0,144900.0,149900.0,149900.0,159900.0,158350.0,165900.0,162950.0,159950.0,174949.5,167450.0,159900.0,164900.0,173900.0,159900.0,174900.0,162500.0,167450.0,152450.0,159900.0,155700.0
37195,NC,Wilson,141950.0,141800.0,142325.0,138200.0,135400.0,136000.0,136000.0,134950.0,132700.0,133050.0,134700.0,137400.0,134325.0,136662.0,137400.0,137450.0,146700.0,143675.0,151450.0,147800.0,142075.0,142200.0,132400.0,130250.0,127700.0,127950.0,125725.0,127950.0,132950.0,133500.0,134900.0,134425.0,128250.0,127200.0,136675.0,132650.0,137875.0,134900.0,136900.0,138950.0,138825.0,142406.5,145300.0,145900.0,144900.0,149000.0,151450.0,144400.0,139900.0,142400.0,138400.0,142400.0,146450.0,148400.0,144450.0,139950.0,135900.0,134450.0,133900.0,128450.0,134900.0,136200.0,137450.0,139950.0,143200.0,137400.0,131825.0,127375.0,125700.0,123725.0,136100.0,128500.0,135000.0,129350.0,124175.0,124575.0,134925.0,137850.0,136725.0,132350.0,131450.0,135000.0,135175.0,128875.0,127450.0,127400.0,129975.0,132450.0,137050.0,141075.0,140175.0,139900.0,137500.0,143950.0,139925.0,136445.0,130990.0,134095.0,137200.0,137175.0,142250.0,143400.0,136700.0,138400.0
37199,NC,Yancey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248600.0,257450.0,269900.0,274900.0,279000.0,279800.0,295000.0,299000.0,312000.0,279450.0,279000.0,275000.0,274950.0,278950.0,287000.0,282000.0,289000.0,279000.0,289000.0,289900.0,289999.0,289000.0,281500.0,269000.0,289900.0,290000.0,289900.0,289000.0,282500.0,285000.0,282500.0,279000.0,285000.0,275000.0,269950.0,256000.0,262450.0,275000.0,289000.0,294500.0,293500.0
38009,ND,Bottineau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249900.0,254900.0,229000.0,209900.0,184900.0,199900.0,195000.0,194450.0,199900.0,207400.0,235750.0,235750.0,229000.0,229000.0,245000.0,229900.0,229900.0
38015,ND,Burleigh,234900.0,234900.0,234400.0,229900.0,233900.0,232900.0,229900.0,227450.0,224921.0,210950.0,215900.0,199450.0,199900.0,222400.0,219900.0,206200.0,214900.0,218000.0,215900.0,218950.0,219900.0,224900.0,227900.0,219900.0,234900.0,234900.0,234900.0,249900.0,269000.0,269900.0,269350.0,254900.0,250450.0,244900.0,249900.0,244900.0,244900.0,247400.0,244900.0,259900.0,254900.0,259900.0,289450.0,321950.0,319900.0,284900.0,296950.0,299999.0,304250.0,307325.0,315000.0,326950.0,314500.0,339900.0,294450.0,301200.0,306874.5,302197.5,293900.0,295150.0,262572.5,257195.0,254900.0,272596.6666666667,276666.6666666667,280433.3333333333,277583.3333333333,272600.0,277931.6666666667,280349.8333333333,274566.6666666667,273046.6666666667,268566.6666666667,269583.3333333333,274900.0,279900.0,280900.0,274299.8333333333,278266.6666666667,282600.0,279900.0,280753.5,275566.6666666667,272933.3333333333,267516.6666666667,266266.6666666667,267531.6666666667,276283.3333333333,277700.0,279416.6666666667,278083.3333333333,277900.0,277966.6666666667,272966.6666666667,274933.3333333333,275566.6666666667,275450.0,267266.6666666667,271600.0,276233.3333333333,276566.6666666667,273933.3333333333,270416.6666666667,267850.0
38017,ND,Cass,162562.5,161425.0,165550.0,163050.0,167350.0,169900.0,167050.0,169650.0,163675.0,164900.0,158800.0,158235.0,159042.5,158425.0,159875.0,166800.0,168337.375,166075.0,162825.0,160449.75,163225.0,159350.0,159201.5,159712.5,158375.0,156675.0,155750.0,156962.5,157150.0,159401.5,160237.5,165412.5,163593.625,156800.0,157712.5,159550.0,157247.25,160934.0,156625.0,162664.5,166347.375,178912.5,180450.0,178477.0,175523.625,178140.75,181131.25,181189.0,184472.75,195002.75,195912.5,191506.25,202400.0,209797.5,210950.0,216792.125,214912.5,218691.75,216423.25,221350.0,219975.0,222280.625,219961.375,225417.875,237543.375,236925.0,229300.0,236337.5,239693.75,235775.0,235812.5,234825.0,235730.0,231325.25,236535.0,239086.25,240962.5,240475.0,238962.5,240150.0,232575.0,231516.0,230573.125,230679.625,231356.875,232747.5,240960.0,248050.0,248573.75,248941.0,247119.125,246097.5,234050.0,234937.375,238987.5,237824.75,239979.75,233698.75,235125.0,239700.0,241072.5,241950.0,242150.0,241612.5
