topo_id,state,county,2010-01,2010-02,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
2020,AK,Anchorage,302505.9285714286,305707.14285714284,299324.9392857143,298238.15357142856,297342.08571428567,296878.87142857135,296955.225,297150.31428571424,297361.2357142857,297561.0571428571,297902.48571428575,298292.41071428574,298232.3035714286,297996.35714285716,297958.4964285714,297663.13928571425,297845.63928571425,298160.28214285715,298530.76785714284,299280.4107142857,299718.98214285716,300491.83928571426,301260.41071428574,302718.98214285716,304345.4107142857,305641.83214285714,306603.26071428566,307787.4571428571,309159.7071428571,311217.38571428566,313022.63571428566,315094.644642857,317342.74285714276,319516.0702380951,321127.0658730158,322127.46269841265,322492.542063492,322737.6809523809,323169.338095238,323153.21111111104,323799.5603174603,324612.5785714285,325927.81666666653,326758.96746031736,326672.6281746031,326937.3853174602,327093.71567460307,326823.0760642135,326104.8812590187,325077.93320707063,324168.7248737373,322879.45404040394,321946.6394570706,321114.34779040393,320544.9033459595,320361.50056818174,320496.36167929287,320381.847790404,319962.2644570706,319693.15334595955,319130.5839015151,318391.2561237373,317057.92279040406,315560.4922348485,314904.2422348485,314054.0755681818,313228.7422348485,312902.89375,312684.5528409091,312313.85208333336,312059.6854166667,312038.01875000005,311768.85416666674,311558.9583333334,311064.2708333334,310614.89375000005,310423.4354166667,310640.51458333334,310889.68125,311101.76458333334,311217.17916666664,311337.5958333333
2090,AK,Fairbanks North Star,234175.0,246075.0,243396.25,242280.0,241165.0,239504.58333333334,237638.75,236067.91666666666,234638.75,233650.41666666666,232450.41666666666,230813.3333333333,229376.24999999994,227652.0833333333,226215.41666666666,225014.16666666666,224257.91666666666,223442.0833333333,223138.3333333333,223014.99999999994,222743.3333333333,222313.3333333333,221524.5833333333,220211.66666666666,219267.5,218540.8333333333,217858.3333333333,216741.66666666666,215600.8333333333,214720.8333333333,214674.99999999994,214579.99999999994,214157.91666666666,213963.74999999994,213711.24999999994,213212.49999999994,212329.99999999994,210336.66666666666,208369.16666666666,206569.16666666663,205509.16666666663,204901.6666666666,204639.99999999994,204800.49999999997,204799.6666666667,205162.8333333333,205269.49999999997,205786.16666666666,205855.3333333333,205598.24999999997,204638.24999999997,203644.91666666663,202872.41666666663,202890.74999999994,203308.66666666657,204108.6666666666,205369.9166666666,207446.58333333328,209648.4583333333,211476.79166666666,212449.0833333333,213195.9583333333,213273.44999999995,213715.2416666666,213842.1166666666,214034.78333333327,214913.3249999999,215642.90833333327,216121.8666666666,216812.90833333327,217472.4291666666,218408.47083333327,218651.3874999999,217357.0124999999,216090.6499999999,214818.7749999999,213936.75624999992,213531.13124999992,213809.25624999992,213706.13124999992,214089.25624999992,214721.13124999992
2110,AK,Juneau,263500.0,273000.0,286273.75,287748.75,290191.25,292636.25,294656.25,296093.75,298021.25,299521.25,301008.75,302018.75,303518.75,304107.5,303905.0,303352.5,303450.0,304650.0,306150.0,308230.0,310667.5,313317.5,315880.0,317125.0,317257.5,317767.5,318450.0,319522.5,321145.0,322417.5,323440.0,325417.5,327372.5,329992.5,331495.0,333122.475,334549.95,336449.95,336824.925,336574.925,335224.925,332824.925,332999.925,333504.925,334432.425,334777.425,334527.425,335292.425,334189.925,333717.425,333744.925,333667.425,334212.425,334092.425,335292.425,336267.45,336892.475,336642.475,336967.5,337017.5,338040.0,339490.0,338135.0,336897.5,336020.0,335697.5,337442.5,337852.5,339852.5,341302.5,343252.5,344830.0,346310.0,347460.0,348007.5,347857.5,347730.0,347980.0,348655.0,349905.0,350432.5,351732.5
2122,AK,Kenai Peninsula,260450.0,260116.66666666666,236571.61041666666,235102.0270833333,233582.0270833333,231690.1520833333,230577.0270833333,229559.94374999995,228220.1520833333,227025.16874999995,226788.91874999995,226772.66874999995,226508.99999999994,226421.49999999994,226565.59999999995,226372.98749999996,225917.37499999994,225646.74999999994,224878.63749999995,224113.63749999995,223533.63749999995,223115.51249999995,222808.63749999995,221828.63749999995,221103.63749999995,220509.26249999995,219644.26249999995,218881.76249999995,218766.76249999995,218910.51249999995,219196.76249999995,219368.94999999995,219870.82499999995,220144.57499999995,220403.32499999995,220744.06249999994,221139.68749999994,221227.81249999994,221470.31249999994,221376.56249999994,221277.18749999994,221452.18749999994,221672.18749999994,222060.31249999994,222837.81249999994,223822.18749999994,224735.31249999994,225360.30624999997,225771.55624999997,226020.30624999997,226378.43124999997,226663.11874999997,226514.36874999997,226656.86874999997,227012.49374999997,227256.24374999997,227533.11874999997,227888.74374999997,228386.86874999997,229154.99374999997,229677.49374999997,230306.86874999997,230906.24374999997,231132.49374999997,231089.99374999997,230983.74374999997,232164.61874999997,233703.86499999993,235259.73999999993,236515.23999999993,237860.86499999993,239476.11499999993,240763.11499999993,241484.11499999993,241839.11499999993,242371.61499999993,242550.61499999993,242734.61499999993,243494.23999999993,244326.23999999993,245531.98999999993,246470.61499999993
2130,AK,Ketchikan Gateway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13550.0,29500.0,44450.0,58700.0,72950.0,87150.0,101600.0,115750.0,129475.0,143550.0,157522.5,172017.5,188267.5,203742.5
2150,AK,Kodiak Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16050.0,32100.0,48100.0,64350.0,80600.0,96850.0,113150.0,129585.0,146022.5,163145.0,180145.0,196895.0,212845.0,228845.0,244620.0,260620.0,277120.0,293420.0,309895.0,326145.0,326345.0,325420.0,324292.5,321542.5,319755.0,320005.0,320655.0,321170.0,321232.5,320860.0,320610.0,320110.0,321110.0,322060.0,323235.0,323860.0,324310.0,325610.0,326735.0,328422.5,330147.5,332997.5,335575.0
2170,AK,Matanuska Susitna,239900.0,236500.0,231281.65,230529.15,229774.15,229311.275,228899.60833333334,228535.4416666667,228287.9416666667,227919.6083333334,227884.6083333334,227942.94166666674,227782.1083333334,227324.6083333334,227216.29166666674,226863.3750000001,226449.20833333343,226258.3750000001,226368.36666666676,226664.2000000001,227148.36666666676,227618.36666666676,228110.03333333338,228654.20000000004,229116.70000000004,229431.2416666667,229590.40833333335,229747.90833333335,230237.07500000004,230887.07500000004,231442.90833333338,231946.2416666667,232539.57500000004,233312.90833333338,233804.57500000004,234106.65833333338,234589.9916666667,234489.15833333335,234570.83333333334,234734.83333333334,235242.33333333334,235950.66666666666,237034.0,237869.83333333334,238852.2916666667,239924.7916666667,241158.12500000006,242638.12500000006,244075.62500000006,245492.2916666667,246931.45833333334,248326.45833333334,249728.125,251305.625,252711.875,254224.51666666666,255478.68333333335,257213.68333333335,258613.68333333335,259887.18333333335,260554.67500000005,261193.84166666673,261348.84166666673,261782.59166666673,262147.6333333334,262666.80000000005,263264.30000000005,263669.30000000005,264168.4666666667,264372.2166666667,264543.88333333336,264745.95000000007,264817.9916666667,264686.32500000007,264880.07500000007,265157.4333333334,265677.20000000007,266101.25000000006,266960.41666666674,267717.0833333334,268799.30000000005,269740.9666666667
2220,AK,Sitka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,44450.0,66400.0,87750.0,107722.5,127695.0,147145.0,164595.0,184095.0,204590.0,224530.0,244255.0,264205.0,283705.0,302805.0,322755.0,343755.0,363227.5,383677.5,403452.5,399327.5,395127.5,392627.5,391227.5,392255.0,394345.0,396495.0,400995.0,402745.0,403375.0,404285.0,405685.0,407685.0,409635.0,411510.0,412010.0,412110.0,413737.5,414537.5,415862.5,418587.5,422087.5,425357.5,427882.5,428132.5,426020.0,425870.0,425167.5,424890.0,425012.5,425512.5,427087.5,427087.5,427587.5,427962.5,428762.5,428912.5,428762.5,428762.5,430362.5,433487.5,434962.5,436580.0,438192.5,439061.25,442448.75,444336.25,444986.25,445963.75,446666.25,446713.75,445463.75,445488.75,445538.75
1001,AL,Autauga,179900.0,178900.0,169435.6875,169269.4375,169268.1875,169884.4375,170990.0625,171403.8125,172103.8125,172847.5625,173592.5625,174001.25,174400.0,174827.5,175477.5,176136.25,176733.75,176855.0,177088.75,177143.75,177048.75,176963.75,176503.75,176215.0,175737.5,174583.75,173194.975,172286.2,171188.7,170399.95,169884.95,169947.45,170087.45,169693.7,169071.2,168772.5125,168214.7125,167851.775,167201.775,167000.525,166950.525,166961.775,167786.775,168376.775,168661.775,169135.525,169578.05,170126.825,170414.325,170301.2,169857.45,169464.95,168876.2,168466.2,168987.375,168978.5625,169415.1125,169846.975,170324.475,170573.225,170576.975,170357.6,169743.85,170080.1,170433.475,171038.475,171630.575,171954.325,172246.2,172841.825,173888.075,175103.075,176163.075,177272.125,177741.55,178519.25,179608.1875,180778.0125,181968.0125,183190.5125,184600.0,186029.3625
1003,AL,Baldwin,249193.75,250845.8125,224010.8415972222,222332.01159722224,220770.68659722223,219360.04909722222,217968.01159722224,216834.74284722222,215575.38034722224,214349.88034722224,213200.31784722224,212077.1134722222,211267.4884722222,210496.4009722222,209683.12597222222,209059.91472222222,208967.01472222223,208864.94472222222,209032.85944444442,209085.72308080806,209099.65994949493,209563.55590909088,210490.1652272727,211468.2111363636,212572.7884090909,213769.28386363634,215004.87477272726,216048.39295454542,217296.27818181814,218535.98272727267,219934.29522727267,221277.2470454545,222855.67886363636,224306.4697727273,225833.71749999997,227401.0543181818,228627.47477272726,229594.88568181818,230477.1772727273,231441.21363636368,232471.27272727276,233461.24318181822,234465.37954545455,235533.15227272725,236461.74090909088,237381.70909090905,238293.92272727267,239127.90909090903,239854.1045454545,240659.49090909088,241487.6727272727,242447.3318181818,243259.37727272726,244266.58636363634,245309.7840909091,246173.5818181818,247338.18409090902,248960.5704545454,250642.69999999995,252231.31590909086,253531.68863636363,254527.75681818184,255589.6204545455,256316.3477272728,257173.06363636372,258014.9250000001,258878.6750000001,260282.49318181825,261790.75227272738,263321.2750000001,264179.46818181826,264886.97727272735,265305.8395833334,265428.94791666674,265623.17329545465,265960.8000000001,266040.6397727274,265775.2666666667,265738.70511363645,265475.22670454555,265432.9274621213,265407.5289772728
